"Dataset","Package","DeepTyper type checks","LambdaNet type checks","InCoder type checks","SantaCoder type checks"
top1k-typed-nodeps-es6,merge2,0,0,0,0
top1k-typed-nodeps-es6,methods,0,0,0,1
top1k-typed-nodeps-es6,mime,0,0,0,0
top1k-typed-nodeps-es6,mime-db,0,0,0,0
top1k-typed-nodeps-es6,mimic-fn,0,0,0,0
top1k-typed-nodeps-es6,mimic-response,0,0,0,0
top1k-typed-nodeps-es6,min-indent,0,1,1,1
top1k-typed-nodeps-es6,minimalistic-assert,1,0,0,1
top1k-typed-nodeps-es6,mkdirp,0,0,0,0
top1k-typed-nodeps-es6,mute-stream,0,0,0,0
top1k-typed-nodeps-es6,nanocolors,0,0,0,0
top1k-typed-nodeps-es6,nanoid,0,0,0,0
top1k-typed-nodeps-es6,natural-compare,0,0,0,0
top1k-typed-nodeps-es6,negotiator,0,0,0,0
top1k-typed-nodeps-es6,next-tick,0,NA,0,0
top1k-typed-nodeps-es6,nice-try,0,0,1,1
top1k-typed-nodeps-es6,node-int64,0,0,0,0
top1k-typed-nodeps-es6,normalize-path,0,0,0,0
top1k-typed-nodeps-es6,normalize-url,0,0,0,0
top1k-typed-nodeps-es6,number-is-nan,1,1,1,1
top1k-typed-nodeps-es6,nwsapi,NA,0,0,0
top1k-typed-nodeps-es6,object-assign,0,0,0,0
top1k-typed-nodeps-es6,object-inspect,0,0,0,0
top1k-typed-nodeps-es6,object-keys,0,0,0,0
top1k-typed-nodeps-es6,on-headers,0,0,0,0
top1k-typed-nodeps-es6,os-homedir,1,0,1,1
top1k-typed-nodeps-es6,os-tmpdir,0,0,1,1
top1k-typed-nodeps-es6,p-cancelable,0,NA,0,0
top1k-typed-nodeps-es6,p-each-series,0,0,1,1
top1k-typed-nodeps-es6,p-timeout,0,NA,0,0
top1k-typed-nodeps-es6,p-try,0,0,0,1
top1k-typed-nodeps-es6,parseurl,0,0,0,0
top1k-typed-nodeps-es6,pascalcase,0,NA,0,0
top1k-typed-nodeps-es6,path-browserify,0,0,0,0
top1k-typed-nodeps-es6,path-exists,1,0,0,1
top1k-typed-nodeps-es6,path-is-absolute,0,0,0,1
top1k-typed-nodeps-es6,path-is-inside,1,0,1,1
top1k-typed-nodeps-es6,path-key,0,0,0,0
top1k-typed-nodeps-es6,path-parse,0,0,0,0
top1k-typed-nodeps-es6,path-type,0,0,0,0
top1k-typed-nodeps-es6,picomatch,NA,0,0,0
top1k-typed-nodeps-es6,pify,0,0,1,0
top1k-typed-nodeps-es6,postcss-modules-extract-imports,0,0,0,0
