"System","Dataset","Package","Number of function signatures compared","Number of correct annotations","Number of inferred anys","Number of annotations checked","Number of ground truth anys skipped"
deeptyper,top1k-typed-with-typed-deps-es6,is-core-module,1,2,1,3,0
deeptyper,top1k-typed-with-typed-deps-es6,is-data-descriptor,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,json5,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,jsonfile,1,2,0,2,0
deeptyper,top1k-typed-with-typed-deps-es6,make-dir,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,micromatch,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,mime-types,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,minimatch,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,minipass,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,nopt,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,normalize-package-data,1,2,2,4,0
deeptyper,top1k-typed-with-typed-deps-es6,on-finished,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,portfinder,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,postcss-modules-values,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,promise,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,pump,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,pumpify,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,readdirp,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,rimraf,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,send,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,serialize-javascript,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,serve-static,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,stream-each,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,strip-indent,1,1,1,2,0
deeptyper,top1k-typed-with-typed-deps-es6,through2,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,tmp,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,type-is,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,url-parse,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,validate-npm-package-license,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,w3c-xmlserializer,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,watchpack,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,wcwidth,1,1,0,2,0
deeptyper,top1k-typed-with-typed-deps-es6,which,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,write-file-atomic,0,0,0,0,0
lambdanet,top1k-typed-nodeps-es6,@xtuc_long,0,0,0,0,0
lambdanet,top1k-typed-nodeps-es6,abab,2,2,0,4,0
lambdanet,top1k-typed-nodeps-es6,acorn-jsx,0,0,0,0,0
lambdanet,top1k-typed-nodeps-es6,ansi-colors,0,0,0,0,0
lambdanet,top1k-typed-nodeps-es6,ansi-regex,0,0,0,0,0
lambdanet,top1k-typed-nodeps-es6,ansi-styles,0,0,0,0,0
lambdanet,top1k-typed-nodeps-es6,argparse,0,0,0,0,0
lambdanet,top1k-typed-nodeps-es6,arr-diff,0,0,0,0,0
lambdanet,top1k-typed-nodeps-es6,arr-union,0,0,0,0,0
lambdanet,top1k-typed-nodeps-es6,array-union,0,0,0,0,0
lambdanet,top1k-typed-nodeps-es6,array-uniq,0,0,0,0,0
lambdanet,top1k-typed-nodeps-es6,array-unique,0,0,0,0,0
lambdanet,top1k-typed-nodeps-es6,arrify,0,0,0,0,0
lambdanet,top1k-typed-nodeps-es6,assert-plus,0,0,0,0,0
lambdanet,top1k-typed-nodeps-es6,astral-regex,0,0,0,0,0
lambdanet,top1k-typed-nodeps-es6,atob,0,0,0,0,0
lambdanet,top1k-typed-nodeps-es6,aws4,0,0,0,0,0
lambdanet,top1k-typed-nodeps-es6,balanced-match,1,0,0,4,0
lambdanet,top1k-typed-nodeps-es6,base64-js,3,3,0,6,0
lambdanet,top1k-typed-nodeps-es6,boolbase,0,0,0,0,0
lambdanet,top1k-typed-nodeps-es6,buffer-crc32,0,0,0,0,0
lambdanet,top1k-typed-nodeps-es6,buffer-from,1,0,0,4,0
lambdanet,top1k-typed-nodeps-es6,bytes,3,3,0,8,0
lambdanet,top1k-typed-nodeps-es6,cacheable-lookup,0,0,0,0,0
lambdanet,top1k-typed-nodeps-es6,callsites,1,0,0,1,0
lambdanet,top1k-typed-nodeps-es6,camelcase,0,0,0,0,0
lambdanet,top1k-typed-nodeps-es6,chownr,0,0,0,0,0
lambdanet,top1k-typed-nodeps-es6,ci-info,0,0,0,0,0
lambdanet,top1k-typed-nodeps-es6,cjs-module-lexer,2,2,0,4,0
lambdanet,top1k-typed-nodeps-es6,clone,0,0,0,0,0
lambdanet,top1k-typed-nodeps-es6,collect-v8-coverage,0,0,0,0,0
lambdanet,top1k-typed-nodeps-es6,color-support,0,0,0,0,0
lambdanet,top1k-typed-nodeps-es6,colorette,0,0,0,0,0
lambdanet,top1k-typed-nodeps-es6,colors,0,0,0,0,0
lambdanet,top1k-typed-nodeps-es6,cookie,0,0,0,0,0
lambdanet,top1k-typed-nodeps-es6,cookie-signature,0,0,0,0,0
lambdanet,top1k-typed-nodeps-es6,create-require,0,0,0,0,0
lambdanet,top1k-typed-nodeps-es6,cssesc,0,0,0,0,0
lambdanet,top1k-typed-nodeps-es6,cssom,0,0,0,0,0
lambdanet,top1k-typed-nodeps-es6,decamelize,0,0,0,0,0
lambdanet,top1k-typed-nodeps-es6,decimal.js,0,0,0,0,0
lambdanet,top1k-typed-nodeps-es6,decode-uri-component,0,0,0,0,0
lambdanet,top1k-typed-nodeps-es6,dedent,1,1,0,3,0
lambdanet,top1k-typed-nodeps-es6,deepmerge,0,0,0,0,0
